#,Status,PA NUMBER,NATIONAL NUMBER,AREA,PLANT LOCATION,PSI/CFM,Relief valve Model #,Thread Size (in),PR1 EQUIP. #,PRS EQUIP. #,TECH I.D.,MFG. INFORMATION,Cert. Expiration,NEEDS INSPECTION,Zurich Match,Latitude,Longitude
1,,449545V,593680,GARAGE,GARAGE PRESSURE WASHER ROOM,200/178,,"1/4""",10037484,80720727,85934A,WOOD AIR TANK,8/26/2013,YES,,40.474472,-75.896529
2,New Vessel - is this the same as 16?,,-,GARAGE,COMPRESSOR INSIDE GARAGE PRESSURE WASHER ROOM,,,,,,,INGERSOL RAND,,YES,,40,-75
3,,589769V,422621,MAINTENANCE SHOP,MAINTENANCE SHOP - AIR COMPRESSOR,200/434,0G2663.1C,"3/8""",10037524,80720764,85997P,STEEL FAB,4/24/2026,NO,x,40,-75
4,need NB# from new tag.,360360B,-,WASHHOUSE BOILER ROOM,NEW BOILER WASHHOUSE BOILER ROOM,50,RVW60,"1-1/2""",10037497,80720739,85943A,WEIL-MCLAIN,5/16/2026,NO,,40.473948,-75.896037
5,,208524B,25481,WASHHOUSE BOILER ROOM,OLD BOILER WASHHOUSE BOILER ROOM,50,RVW60,"1-1/2""",10037497,80720739,85943A,WEIL-MCLAIN,11/15/2025,YES,x,40.473952,-75.896062
6,,548368V,101267,WASHHOUSE,WASH HOUSE IN CEILING OVER BIRD BATH,30,125/N0174A,"1""",10037498,80720740,85943B,WOOD COLD WATER TANK,4/24/2026,NO,x,40.473912,-75.895872
7,,589743V,53502,SLAG DRYER,GYP/SLAG ELEVATOR 1  (TOP),125/152,0548-A01-KM,"1/4""",10037520,80720760,42905A,GARDNER DENVER / 1974,4/24/2026,NO,,40.473505,-75.896349
8,,589734V,95098,PENTHOUSE,PENTHOUSE - SILO 7 (EAST SIDE),200/469,0548-COL-KN,"1/2""",10037512,80720754,41905A,MANCHESTER / 2005,10/17/2014,YES,,,
9,,441567V,49603,FINISH MILLS,FINISH MILL 1 D/C NORTHEAST CORNER  (TOP),125/2179,6010FFM01-A11,"1""",10037474,80720717,43201A,FAUBION AIR TANK,4/24/2026,NO,x,,
10,,589748V,1752,FINISH MILLS,G10 DUST COLLECTOR,175/1127,6010FEM01-AM,"1""",10037521,80720761,43202A,WM. A. SCHMIDT & SONS,5/16/2027,NO,x,,
11,,441568V,679625,FINISH MILLS,FINISH MILL  2 D/C NORTHEAST CORNER  (TOP),125/2179,6010FFM01-A11,"1""",10037475,80720718,44201A,KARGARD AIR TANK,4/24/2026,NO,x,,
12,,584044V,248731,FINISH MILLS,FM 2 O-SEPA D/C EAST  (TOP),125/823,6010FEM01-AM,"1""",10037500,80720742,44202A,SILVAN,4/24/2026,NO,x,,
13,,584045V,248730,FINISH MILLS,FM 2 O-SEPA D/C WEST  (TOP),125/823,6010FEM01-AM,"1""",10037501,80720743,44202B,SILVAN,4/24/2026,NO,x,,
14,,441569V,679640,FINISH MILLS,FINISH MILL 3 D/C NORTHWEST CORNER  (TOP),125/2179,6010FFM01-A11,"1""",10037476,80720719,45201A,KARGARD AIR TANK,4/24/2026,NO,x,,
15,,589751V,460153,FINISH MILLS,G10A DUST COLLECTOR,175/1127,6010FE01-AM,"1""",10037523,80720763,45202A,SYLVAN INDUSTRIES,5/16/2027,NO,x,,
16,,235303V,217923,FINISH MILLS,FM  D/C FLOOR SOUTH CENTRAL,125/1383,6010HGM01-KM,1 1/2,10037460,80720703,45905A,WOOD AIR TANK,4/24/2026,NO,x,,
17,,441561V,71149,FINISH MILLS,FM 1 BOTTOM FLOOR - EAST  (NEAR BREEZEWAY),125/1352,6010GFM01-KM,1 1/4,10037471,80720714,45905B,RICHMOND AIR TANK,12/10/2023,YES,x,,
18,need NB# from new tag,698019V,-,FINISH MILLS,FM 1 BOTTOM FLOOR - WEST  (NEAR BREEZEWAY),125/1352,6010GFM01-KM,"1/4""",10037481,80720724,45905C,WOOD AIR TANK,2/24/2023,YES,x,,
19,,449441V,710266,FINISH MILLS,FM 1 BOTTOM FLOOR - MIDDLE  (NEAR BREEZEWAY),125/1352,6010GFM01-KM,"1/4""",10037482,80720725,45905D,WOOD AIR TANK,6/3/2024,YES,x,,
20,,441564V,420483,FINISH MILLS,FM 1 MAT TRAP  PINCH VALVE  (W END OF D/C FLOOR BY SEP CONE),150/200,6010D01401-KM,"1/2""",10037472,80720715,45905F,BELL & GOSSETT AIR TANK,5/16/2027,NO,x,,
21,,441566V,420494,FINISH MILLS,FM 3 MAT TRAP PINCH VALVE (W END OF D/C FLOOR BY SEP CONE),150/200,6010D01401-KM,"1/2""",10037473,80720716,45905G,BELL & GOSSETT AIR TANK,5/16/2027,NO,x,,
22,,589728V,446471,FINISH MILLS,FM DUST COLLECTOR FLOOR NORTHWEST CORNER,125/2114,6010HGM01-KM,1 1/2,10037509,80720751,45905H,SYLVAN INDUSTRIES,4/24/2026,NO,x,,
23,,184218V,14116,RAWMILLS,RM 1 & 3 SEPARATORS,125/1383,6010GHM01-KM,"1 1/2""",10037457,80720700,19905A,IBW AIR TANK,5/16/2027,NO,*,,
24,,449526V,496094,RAWMILLS,RM OPERATOR'S FLOOR S/W WALL (SMALL),125/2114,89A1AK,1/2X1/2,10037483,80720726,19905B,JOHN WOOD AIR TANK,4/24/2026,NO,x,,
25,,275693V,14565,RAWMILLS,RM OPERATOR'S FLOOR S/W CORNER,125/1383,6010HGM01-KM,1 1/2,10037461,80720704,19905C,INTERNATIONAL BOILER,3/8/2020,YES,x,,
26,,636203V,391872,RAWMILLS,RAW MILL OPERATORS FLOOR SOUTH WEST WALL (BIG),150-316,,,,,,MANCHESTER,4/24/2026,NO,x,,
27,,184307V,25481,CENTRAL,CENTRAL CONTROL AIR CONDITIONER ROOM  NORTH WEST CORNER,140/189,0548-A01-KM,"1/4""",10037458,80720701,84905,EN/PRESSED STEEL,5/16/2027,NO,x,,
